Date,twd,ip
1986-11-30,62.3702,56.9564
1986-12-31,62.4267,57.1508
1987-01-31,60.8462,57.6367
1987-02-28,60.5291,58.9806
1987-03-31,60.4773,58.9965
1987-04-30,59.7043,58.2678
1987-05-31,59.6325,58.778
1987-06-30,60.5782,60.5757
1987-07-31,61.6028,58.6313
1987-08-31,61.638,60.9134
1987-09-30,60.9387,61.248
1987-10-31,61.0368,61.9711
1987-11-30,59.4714,61.4777
1987-12-31,58.6431,61.2913
1988-01-31,59.104,62.0026
1988-02-29,59.7802,62.7332
1988-03-31,59.2901,62.7932
1988-04-30,59.0075,62.3016
1988-05-31,59.4392,62.2646
1988-06-30,60.5403,64.0952
1988-07-31,62.1886,61.6974
1988-08-31,63.0768,63.7977
1988-09-30,63.3727,64.067
1988-10-31,62.344,64.0371
1988-11-30,61.3602,63.2037
1988-12-31,61.5591,62.9397
1989-01-31,62.9025,63.7077
1989-02-28,63.2856,63.9473
1989-03-31,64.3096,63.645
1989-04-30,64.8369,63.757
1989-05-31,66.43,62.8723
1989-06-30,68.0355,64.5947
1989-07-31,67.3819,61.5326
1989-08-31,68.2819,64.177
1989-09-30,69.4326,64.275
1989-10-31,68.9528,63.9089
1989-11-30,69.3945,63.1956
1989-12-31,69.6101,63.2238
1990-01-31,70.1345,63.2044
1990-02-28,71.1232,64.1356
1990-03-31,72.9546,64.4711
1990-04-30,73.3941,63.149
1990-05-31,72.962,63.802
1990-06-30,73.2249,65.7586
1990-07-31,72.0906,63.3214
1990-08-31,71.0147,65.5078
1990-09-30,70.5077,65.9926
1990-10-31,69.3448,65.056
1990-11-30,69.4716,63.3462
1990-12-31,70.6934,62.4705
1991-01-31,71.0738,62.7681
1991-02-28,70.7005,62.5266
1991-03-31,73.3824,61.825
1991-04-30,74.5544,61.8252
1991-05-31,75.0827,62.2417
1991-06-30,76.2585,64.5935
1991-07-31,76.408,62.2816
1991-08-31,75.8928,64.5251
1991-09-30,75.1196,65.2082
1991-10-31,75.1015,64.723
1991-11-30,74.4726,63.589
1991-12-31,74.126,62.7598
1992-01-31,74.4082,62.999
1992-02-29,75.6435,63.8832
1992-03-31,77.3368,64.5628
1992-04-30,77.4242,63.871
1992-05-31,77.0866,64.3842
1992-06-30,76.2443,66.1636
1992-07-31,75.3025,64.123
1992-08-31,75.1183,66.1777
1992-09-30,75.8731,66.3676
1992-10-31,77.5271,66.6639
1992-11-30,80.1583,66.147
1992-12-31,80.8499,65.7533
1993-01-31,82.0023,66.0992
1993-02-28,82.5443,67.0487
1993-03-31,82.4072,67.0804
1993-04-30,81.5063,66.0562
1993-05-31,81.8694,66.0934
1993-06-30,82.7197,68.0328
1993-07-31,84.0634,65.7099
1993-08-31,84.242,68.0001
1993-09-30,84.4005,68.3381
1993-10-31,85.4585,68.4937
1993-11-30,86.6715,68.011
1993-12-31,87.518,67.7894
1994-01-31,90.388,68.3638
1994-02-28,90.4705,68.9505
1994-03-31,90.9911,69.7899
1994-04-30,91.6541,68.9884
1994-05-31,91.7219,69.4568
1994-06-30,92.0166,71.8987
1994-07-31,90.8465,68.9924
1994-08-31,90.84,72.1681
1994-09-30,90.0052,72.7629
1994-10-31,89.5426,72.7898
1994-11-30,89.9678,72.4211
1994-12-31,92.0418,72.5788
1995-01-31,94.0871,72.737
1995-02-28,93.6275,73.5024
1995-03-31,92.738,73.9757
1995-04-30,90.1488,72.001
1995-05-31,90.1369,72.6661
1995-06-30,90.3097,75.2351
1995-07-31,90.3452,71.9209
1995-08-31,92.4834,75.6121
1995-09-30,93.8448,76.2868
1995-10-31,93.6617,75.3293
1995-11-30,94.8835,74.7394
1995-12-31,95.567,74.5795
1996-01-31,96.4501,74.0293
1996-02-29,96.6093,75.8473
1996-03-31,96.6007,76.2384
1996-04-30,96.8903,75.2409
1996-05-31,97.3537,75.8913
1996-06-30,97.8128,79.0027
1996-07-31,97.6823,75.5989
1996-08-31,97.26,79.1949
1996-09-30,97.7927,80.2778
1996-10-31,98.2434,79.3236
1996-11-30,97.8598,79.2405
1996-12-31,98.9296,79.0905
1997-01-31,100.0,79.1648
1997-02-28,101.8516,80.8225
1997-03-31,102.6546,81.6861
1997-04-30,103.452,80.7624
1997-05-31,102.4414,80.8552
1997-06-30,102.0955,83.3743
1997-07-31,103.2968,80.0332
1997-08-31,105.1786,84.5325
1997-09-30,105.6641,86.0042
1997-10-31,106.2741,86.0051
1997-11-30,108.0039,86.3463
1997-12-31,112.2393,86.1603
1998-01-31,115.9906,85.7719
1998-02-28,114.4475,86.9112
1998-03-31,114.1786,87.7146
1998-04-30,113.9345,85.5902
1998-05-31,114.8202,86.8867
1998-06-30,117.3693,88.2789
1998-07-31,117.6859,85.0058
1998-08-31,119.6039,89.7346
1998-09-30,118.2007,89.4731
1998-10-31,115.0699,90.1149
1998-11-30,115.0556,89.2503
1998-12-31,114.3004,89.1134
1999-01-31,114.4903,89.146
1999-02-28,116.0192,90.1695
1999-03-31,117.4499,91.558
1999-04-30,116.8463,89.599
1999-05-31,116.6742,90.5073
1999-06-30,117.2564,92.9053
1999-07-31,117.3333,89.1239
1999-08-31,116.2802,93.4731
1999-09-30,115.6183,92.9902
1999-10-31,115.1016,93.9859
1999-11-30,115.3704,93.3633
1999-12-31,115.4218,93.4364
2000-01-31,115.2256,93.1901
2000-02-29,116.6762,93.9684
2000-03-31,116.6627,95.6618
2000-04-30,117.3199,94.3112
2000-05-31,119.9031,94.6735
2000-06-30,118.6903,97.7599
2000-07-31,118.9852,93.1097
2000-08-31,119.8047,96.7179
2000-09-30,121.1944,97.1965
2000-10-31,122.9602,96.3022
2000-11-30,123.9621,95.1909
2000-12-31,122.9444,94.7582
2001-01-31,122.8014,93.5736
2001-02-28,123.527,93.7067
2001-03-31,125.541,94.6384
2001-04-30,126.5078,91.437
2001-05-31,126.3892,92.2205
2001-06-30,127.2166,94.4417
2001-07-31,127.6331,90.0001
2001-08-31,125.5447,93.5599
2001-09-30,125.8856,92.7637
2001-10-31,126.7251,91.6506
2001-11-30,127.2625,90.0664
2001-12-31,127.3803,89.6331
2002-01-31,128.8873,90.0874
2002-02-28,129.629,90.751
2002-03-31,128.9042,92.2845
2002-04-30,128.5311,91.3367
2002-05-31,126.9477,91.8485
2002-06-30,125.5267,95.6268
2002-07-31,123.7952,90.9356
2002-08-31,125.1862,95.1608
2002-09-30,126.054,95.0357
2002-10-31,127.0304,93.8377
2002-11-30,125.7215,92.8176
2002-12-31,125.0504,91.9986
2003-01-31,123.5491,92.557
2003-02-28,123.3924,93.7069
2003-03-31,122.911,94.4501
2003-04-30,121.9377,91.7911
2003-05-31,117.9351,92.4059
2003-06-30,117.332,95.2992
2003-07-31,118.4831,91.139
2003-08-31,119.846,95.5608
2003-09-30,118.5809,95.7947
2003-10-31,116.1477,94.8833
2003-11-30,116.0244,94.471
2003-12-31,114.4476,93.9614
2004-01-31,112.6266,93.7934
2004-02-29,113.0656,95.5767
2004-03-31,114.2132,95.9576
2004-04-30,115.0219,94.1721
2004-05-31,116.836,95.6757
2004-06-30,115.7807,97.8956
2004-07-31,114.9643,94.7623
2004-08-31,115.1378,98.3543
2004-09-30,114.6994,97.7488
2004-10-31,113.068,97.9479
2004-11-30,110.1684,96.9903
2004-12-31,108.9647,97.3593
2005-01-31,109.5329,97.6114
2005-02-28,109.7344,98.795
2005-03-31,109.151,99.353
2005-04-30,110.0722,98.5545
2005-05-31,110.5681,98.8702
2005-06-30,111.63,102.2786
2005-07-31,112.0936,98.4791
2005-08-31,110.6334,102.0851
2005-09-30,110.5043,99.6311
2005-10-31,111.559,99.7231
2005-11-30,112.3543,99.4912
2005-12-31,111.6423,100.0282
2006-01-31,110.189,99.3667
2006-02-28,110.3688,100.1564
2006-03-31,110.5273,101.5349
2006-04-30,109.7562,99.5564
2006-05-31,107.536,101.0114
2006-06-30,108.788,104.4874
2006-07-31,108.4967,101.329
2006-08-31,107.7999,104.8101
2006-09-30,108.0455,103.7817
2006-10-31,108.3501,102.49
2006-11-30,107.4511,101.2664
2006-12-31,106.6484,102.2975
2007-01-31,107.6233,101.1173
2007-02-28,107.2655,102.674
2007-03-31,106.74,103.8867
2007-04-30,105.3945,102.8742
2007-05-31,104.4918,103.9152
2007-06-30,104.2399,107.0508
2007-07-31,102.9291,103.7117
2007-08-31,103.479,107.1894
2007-09-30,102.1061,106.7355
2007-10-31,100.0435,104.9849
2007-11-30,98.5975,104.4945
2007-12-31,99.4455,104.5498
2008-01-31,98.6439,103.7665
2008-02-29,97.7993,103.6142
2008-03-31,95.8676,104.029
2008-04-30,95.4953,102.5287
2008-05-31,95.824,102.2461
2008-06-30,96.0296,105.0136
2008-07-31,95.3457,102.1167
2008-08-31,97.8354,102.8991
2008-09-30,100.1879,97.7786
2008-10-31,106.8821,97.3488
2008-11-30,109.5224,95.2862
2008-12-31,108.3502,93.1798
2009-01-31,109.0218,90.5347
2009-02-28,111.7694,89.7648
2009-03-31,112.2552,88.8225
2009-04-30,109.4737,86.3527
2009-05-31,106.3305,86.57
2009-06-30,104.9721,88.8461
2009-07-31,104.5785,88.1486
2009-08-31,103.3293,91.2517
2009-09-30,102.5523,90.5106
2009-10-31,101.092,89.9968
2009-11-30,100.6128,89.6819
2009-12-31,101.0603,90.4854
2010-01-31,101.3382,91.393
2010-02-28,102.8527,91.4638
2010-03-31,101.9729,92.6395
2010-04-30,101.4655,91.5215
2010-05-31,104.2738,93.3754
2010-06-30,104.8423,96.3027
2010-07-31,103.21,94.5846
2010-08-31,102.4087,97.2557
2010-09-30,101.4099,96.163
2010-10-31,98.7767,95.0411
2010-11-30,99.058,94.1621
2010-12-31,99.7144,95.69
2011-01-31,98.5621,95.5776
2011-02-28,97.8112,94.7287
2011-03-31,96.8759,96.4198
2011-04-30,95.2715,94.5356
2011-05-31,95.2338,95.302
2011-06-30,95.2086,98.2874
2011-07-31,94.5563,97.1574
2011-08-31,95.0954,99.6828
2011-09-30,97.9361,98.5865
2011-10-31,98.8396,98.2235
2011-11-30,99.4731,97.5557
2011-12-31,100.4097,98.5894
2012-01-31,99.7874,98.914
2012-02-29,98.0571,99.1116
2012-03-31,98.6518,99.2133
2012-04-30,98.9698,98.3443
2012-05-31,100.6915,99.15
2012-06-30,102.1321,101.7415
2012-07-31,101.6519,100.2154
2012-08-31,100.7702,101.939
2012-09-30,99.1935,100.8946
2012-10-31,98.9141,100.0023
2012-11-30,99.5449,99.956
2012-12-31,98.97,100.518
2013-01-31,98.8842,100.5587
2013-02-28,99.6899,100.8081
2013-03-31,100.5577,101.4612
2013-04-30,100.1968,100.5394
2013-05-31,100.6287,100.7254
2013-06-30,101.4398,103.4433
2013-07-31,101.9944,101.5054
2013-08-31,101.8753,104.2638
2013-09-30,101.6626,103.6457
2013-10-31,100.6423,102.5151
2013-11-30,101.5343,102.3035
2013-12-31,101.7194,102.6288
